"movie","tomato_meter","audience_score"
"Abominable","81","96"
"Downton Abbey","84","95"
"Hustlers","88","66"
"It Chapter Two","63","78"
"Ad Astra","83","40"
"Rambo: Last Blood","27","83"
"Judy","83","89"
"Good Boys","80","86"
"The Lion King","53","88"
"Angel Has Fallen","39","93"
"Fast & Furious Presents: Hobbs & Shaw","67","88"
"Overcomer","50","98"
"The Peanut Butter Falcon","95","96"
"Scary Stories to Tell in the Dark","79","72"
"Dora and the Lost City of Gold","84","88"
"Brittany Runs a Marathon","89","88"
"Nothing to Lose 2 (Nada a perder 2)",NA,NA
"Once Upon a Time In Hollywood","85","70"
"Linda Ronstadt: The Sound of My Voice","88","99"
"The Angry Birds Movie 2","73","84"
